0,harmonized labeling,in cgc2 typelist,in cgc2 subtypelist,dc.type,dc.subtype,peer-reviewed y/n,dc.format,dc.title,dc.description,dc.subject,dc.subject vocab=GACS/AGROVOC/CAB,dc.creator,dc.creator ID,dc.creator Affiliation,dc.publisher,dc.contributor type=Project,dc.contributor Project Lead Center,dc.contributor type=Partner,dc.contributor type=CRP,dc.contributor type=Donor,dc.contact,dc.contact.email,dc.date,dc.date type=completion,dc.date type=availability,dc.language,dc.identifier,dc.identifier type=bibliographiCitation,dc.identifier type=identifier,dc.source,howpublished,booktitle,chapter,pages,volume,number,series,edition,notes,dc.relation,dc.relation hasFormat,dc.relation isFormatOf,dc.relation hasPart,dc.relation isPartOf,dc.relation hasVersion,dc.relation isVersionOf,dc.relation conformsTo,dc.relation replaces,dc.relation isReplacedBy,dc.relation references,dc.relation isReferencedBy,dc.relation requires,dc.relation isRequiredBy,isMetadataFor,dc.relation HasMetadata,dc.contributor type=person role=Editor,dc.contributor type=person role=HostingInstitution,dc.contributor type=person role=ProjectLeader,dc.contributor type=person role=Producer,dc.contributor type=person role=Data analyst,dc.contributor type=person role=Supervisor,dc.contributor type=person role=ServiceProvider,dc.contributor type=person role=Geoinformation Specialist,dc.contributor type=person role=translator,dc.contributor type=person role=other,dc.rights,dc.rights license,dc.rights RightsStatement,terms of use,dc.rights copyright holder,dc.targetaudience,event name,event type,event date,dc.coverage,dc.coverage type=Region,dc.coverage type=Country,dc.coverage type=Administrative Unit,dc.coverage type=AEZ (FAO),dc.coverage type=ChronologicalPeriod,dc.coverage type=ChronologicalPeriod eventtype=Single,dc.coverage type=ChronologicalPeriod eventtype=Start / End,dc.coverage type=geospatial X,dc.coverage type=geospatial Y,dc.coverage type=geospatial bounding box
138,article-electronic article,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
139,article-research article,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
145,Book Chapter-electronic,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
147,Document - Book Prospectus,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
148,Book-Edited Book,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
149,Book-Electronic Book,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
150,Booklet,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
156,Chapter,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
157,communication-reply,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
158,communication-announcement-retraction,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
162,Conference paper-Ph.D. symposioum paper,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
164,Conference Poster not in proceedings,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
167,Contact Info,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
169,CV - Full Academic,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
172,document-complete works,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
174,Document-doc part,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
178,document-metadata application profile,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
179,document-minimal information standard,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
181,document-notebook-diary,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
182,document-supplementary information file,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
183,Document-Technical documentation,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
184,Editorial,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
185,Electronic Citation,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
187,E-Mail-E-Mail Address,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
190,Entry-Encyclopedia Entry-Wikipedia,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
191,entry-reference entry,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
193,essay,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
197,Graduate Examination,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
200,grant application-work package,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
203,Identifying Info,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
207,index,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
208,Instant Message,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
209,Instant Message-Yammer,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
213,Internal Document-data management plan,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
216,IP-Disclosure,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
217,IP-License,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
218,IP-Patent,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
219,IP-patent-application,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
220,IP-Registered Copyright,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
225,journal volume,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
227,Legal Case Document,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
229,Legal rule,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
232,magazine,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
234,magazine issue,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
238,nanopublication,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
242,news item-obituary,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
247,Note-addendum,0,-1,required,recommended,optional,required,nix,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
